"","JagsEstimates","ScalaEstimates","RainierEstimatesHMC300"
"alpha[1]",2.10399599620942,2.19058242192932,2.59608232752809
"alpha[10]",-3.24750283882371,-3.16812796985244,-2.93092629954533
"alpha[2]",-1.6060984726122,-1.51067112562101,-1.25419117114256
"alpha[3]",-0.234254927244909,-0.140472303996623,0.171931131955465
"alpha[4]",-4.14618824912527,-4.06866954401097,-3.87196805196756
"alpha[5]",1.73968620019061,1.82864856287778,2.14387115104945
"alpha[6]",-0.504501011248185,-0.40579994183136,-0.0454109996825548
"alpha[7]",1.90108879661732,1.98936918899147,2.37056909811718
"alpha[8]",0.197501980998169,0.29285752943681,0.486089173728797
"alpha[9]",2.53023828214091,2.60541053723462,3.01922619360556
"beta[1]",2.86915341708612,2.90611959926345,2.799000405699
"beta[10]",-1.43025612999627,-1.45182019382894,-1.61260782900719
"beta[11]",1.35000785617693,1.37952341867401,1.37623503665886
"beta[12]",1.64062076380324,1.66163592758343,1.55909264114957
"beta[13]",1.09844994565283,1.12240684809497,1.14902954399428
"beta[14]",-1.94669610801585,-1.93833549785342,-2.07184461457567
"beta[15]",-3.56754975697979,-3.55979296268184,-3.61832404758903
"beta[2]",0.913327506044494,0.90881520523921,0.918383601047396
"beta[3]",-0.879189756873447,-0.896456606254975,-0.941353465924491
"beta[4]",-1.38214210079294,-1.3499815866398,-1.35399603693915
"beta[5]",0.993360641293271,1.01792268157898,0.904167523366792
"beta[6]",0.683366485408665,0.690876730143881,0.61617295926744
"beta[7]",-2.37786703513005,-2.36358288795381,-2.33858357785496
"beta[8]",0.235189659251018,0.231041689069677,0.231401593847324
"beta[9]",1.66009504008609,1.68645552781552,1.54701038570494
"int_effects[1,1]",0.0853891744621719,0.0615142016760019,-0.0207170155476984
"int_effects[1,10]",-0.452017026514345,-0.415315554129528,-0.446632481013054
"int_effects[1,11]",0.0208727650958726,0.00973243689762507,-0.180342906143451
"int_effects[1,12]",0.539299598313463,0.531966832859592,0.444820437964763
"int_effects[1,13]",3.24886965004113,3.24176446753166,3.02163071774308
"int_effects[1,14]",-0.592969793470103,-0.582066642877944,-0.642562170244182
